COUNTRY,COUNTRY_GRP,YEAR,VALUE
,EU_MEMBERS,1983,62.58
ARM,,1998,37.92
KAZ,,1987,95.03
POL,,2012,54.26
ISL,,2009,34.66
BEL,,1990,57.96
ITA,,1981,48.69
HUN,,1973,97.98
FIN,,1997,75.33
AZE,,2002,25.57
ROU,,1994,78.19
AZE,,2000,29.68
EST,,2008,92.42
TUR,,2009,19.27
LTU,,1995,185.47
FRA,,2014,36.82
KAZ,,1991,117.89
HUN,,1975,103.83
FRA,,2006,45.98
HRV,,2013,47.57
DEU,,2003,33.87
POL,,1990,82.47
ISR,,2007,27.22
SWE,,2013,35.94
BLR,,2014,92.53
BGR,,2012,34.91
POL,,1991,86.76
KAZ,,1988,97.85
,CARINFONET,1992,85.75
SVN,,2010,56.31
GBR,,1984,36.21
FRA,,2012,40.28
ALB,,2000,46.43
ARM,,1982,44.4
DEU,,2005,31.08
,EU_MEMBERS,1984,60.61
FIN,,2006,69.61
NLD,,1993,30.59
,EU_BEFORE_MAY2004,1975,64.48
ESP,,1993,38.75
FRA,,2002,54.45
FRA,,1970,90.98
LTU,,1989,119.77
BEL,,1971,83.33
ISL,,1992,42.24
AUT,,2009,38.96
FIN,,1980,79.07
AUT,,1977,90.56
FIN,,2002,68.07
DNK,,1985,70.25
HUN,,2003,79.94
UZB,,1988,64.81
KAZ,,2012,104.25
ESP,,1977,44.54
ISL,,1985,42.95
GBR,,2009,27.52
TKM,,1989,71.47
SRB,,2001,51.51
RUS,,1997,184.64
MDA,,2010,103.05
MDA,,1986,106.9
SVN,,2002,66.73
SVN,,1985,104.75
HUN,,2015,48.17
,WHO_EURO,1995,91.71
RUS,,2000,211.66
,CARINFONET,2011,56.34
IRL,,1998,42.62
,CIS,2008,124.73
ITA,,1971,57.17
FIN,,2001,70.62
ROU,,2000,64.02
,EU_MEMBERS,1989,57.96
DEU,,1992,47.27
ARM,,1986,42.93
FRA,,1971,93.06
SWE,,1976,68.6
MLT,,1997,27.83
GEO,,1988,56.71
ISL,,2000,47.64
TKM,,2010,34.7
MKD,,2008,28.97
FRA,,1984,81.46
CYP,,2011,25.99
ISL,,1976,60.29
LUX,,1992,60.18
ARM,,1992,75.64
ISL,,1974,83.13
BEL,,2014,42.88
ISR,,1994,42.5
GRC,,2002,32.08
HRV,,2001,56.11
ARM,,2008,42.19
GBR,,2006,28.21
,NORDIC,2009,42.46
NLD,,1980,43
LTU,,1996,165.51
ARM,,2012,44.09
GRC,,1999,37.36
GRC,,1990,40.37
SWE,,2004,43.94
IRL,,1992,38.85
BGR,,1984,62.26
,CIS,1996,165.66
DNK,,2010,29.79
MLT,,1980,44.19
,SEEHN,2003,53.94
ESP,,1974,46.51
IRL,,1987,44.17
GEO,,1987,52.15
LVA,,2014,81.82
IRL,,2007,39.31
SWE,,2007,38.68
DNK,,2012,28.92
TJK,,1999,39.5
,EU_MEMBERS,1982,61.65
MDA,,2002,105.97
MKD,,2007,37.07
GEO,,1991,56.39
ITA,,1996,38.41
ROU,,1997,78.05
NLD,,1996,30.33
ISR,,1988,51.45
BGR,,2013,31.72
,NORDIC,1970,73.47
CHE,,2013,32.06
ESP,,2010,23.02
FIN,,1985,76.91
MDA,,2014,82.64
,WHO_EURO,2008,63.34
ALB,,2002,44.45
ITA,,1984,44.77
HRV,,1987,85.99
HRV,,1999,63.9
,CARINFONET,2009,59
POL,,2013,51.4
GEO,,1986,52.12
MDA,,1990,112.05
ITA,,1978,50.38
KAZ,,2013,102.83
BGR,,1977,62.34
HUN,,2005,67.89
ROU,,1996,80.35
IRL,,1979,61.24
,SEEHN,2006,50.06
EST,,2004,121.03
ITA,,2000,34.22
DNK,,1980,71.67
ISR,,1997,33.62
,WHO_EURO,2013,51.34
EST,,2001,155.97
,CARINFONET,2008,66.18
,EU_AFTER_MAY2004,2002,69.05
FIN,,2012,53.45
,EU_MEMBERS,1985,59.6
AZE,,1990,52.45
,EU_BEFORE_MAY2004,1973,68.49
KAZ,,1982,116.33
KGZ,,2012,75.37
ESP,,1996,37.1
,NORDIC,1971,75.81
DNK,,1974,67.77
AUT,,2000,48.26
ALB,,1998,56.21
ISR,,1982,35.32
LVA,,1988,108.46
TKM,,2008,39.91
AUT,,2007,40.37
ARM,,1999,32.36
ISL,,1993,41.06
DNK,,1986,67.79
POL,,2008,60.67
LTU,,2012,109.15
,CARINFONET,2005,78.56
ROU,,2008,57.19
ISR,,1978,52.15
KAZ,,1997,156.31
BEL,,1970,84.67
PRT,,2013,28.3
SWE,,1995,40.27
BLR,,1992,123.78
MLT,,2002,28.51
IRL,,1988,42.64
,CIS,1990,117.06
GRC,,1973,46.26
,CARINFONET,1994,89.83
,CARINFONET,1989,84.81
,CARINFONET,2014,51.98
GRC,,2001,35.78
PRT,,2009,32.9
BGR,,2007,43.39
IRL,,1993,38.45
NOR,,1992,48.15
MDA,,2001,106.26
NLD,,1985,36.71
SWE,,2003,38.66
DNK,,1975,65.14
SVN,,1994,94.95
POL,,1999,70.36
ITA,,2011,25.12
DEU,,1998,35.77
UZB,,1982,74.39
SVN,,2005,61.84
DNK,,1994,57.7
ISL,,1975,80.37
BEL,,1994,60.19
ISL,,1977,74.52
NLD,,1989,34.76
NLD,,1976,52.57
NLD,,1988,32.74
FIN,,1984,74.35
BLR,,1981,98.43
IRL,,1975,57.77
EST,,1989,112.17
MLT,,2001,31.65
ITA,,1992,43.29
ISR,,2013,21.61
ROU,,2006,57.67
DEU,,2008,28.14
GRC,,1991,38.42
RUS,,1998,182.98
FIN,,2004,71.79
IRL,,1983,49.08
DNK,,1992,59.73
,CIS,1994,185.77
,SEEHN,2009,45.73
HRV,,2010,52.64
DNK,,1977,63.15
IRL,,1972,58.9
UKR,,2004,143.77
BGR,,1978,61.87
PRT,,2004,44.71
,EU_MEMBERS,1974,65.36
BGR,,2000,52.38
LTU,,2005,159.85
,EU_MEMBERS,1986,58.49
ISL,,1989,44.23
GRC,,1975,46.45
FIN,,1978,81.92
ARM,,1995,50.16
ITA,,1998,37.33
ISR,,2005,31.76
KGZ,,2004,92.27
UKR,,2007,133.44
SVN,,1989,94.02
MLT,,1994,26.29
CHE,,1974,79.08
NLD,,2001,29.1
BLR,,2002,167.92
MLT,,1998,25.98
EST,,1991,140.76
UKR,,2010,88.43
EST,,1995,198.59
AUT,,2013,35.14
HUN,,1982,113.13
BEL,,1992,56.3
UZB,,1992,59.17
MDA,,1988,110.45
EST,,1990,130.87
DNK,,1999,51.96
,EU_MEMBERS,1973,67.47
,EU_MEMBERS,1970,72.06
CHE,,2010,32.43
POL,,1988,71.23
IRL,,2009,41.11
,CIS,2003,165.32
SVN,,2003,70.09
DNK,,2008,35.75
,EU_BEFORE_MAY2004,1992,47.09
FRA,,1977,86.51
KAZ,,1994,139.54
BLR,,1998,167
ISL,,1988,51.6
ROU,,1990,79.36
AUT,,1995,55
AZE,,1989,49.47
ARM,,1994,70.41
NOR,,1985,57.51
AZE,,1998,35.24
UKR,,1989,101.57
GRC,,1987,49.51
MDA,,2004,107.67
KGZ,,1992,101.92
EST,,1996,160.2
TJK,,1998,46.98
TJK,,2001,31.78
AUT,,1971,106.95
SMR,,2000,21.94
LUX,,2015,36.06
AUT,,2014,34.69
MDA,,2003,110.66
POL,,2010,56.1
CZE,,1986,84.18
HUN,,1989,115.41
BEL,,1989,57.68
ITA,,1997,38.13
SVK,,2005,56.11
EST,,1982,130.08
ISR,,2009,26.02
FIN,,2008,66.95
AZE,,1985,47.16
ISL,,2006,43.85
PRT,,1997,49.66
FRA,,2004,48.82
,CARINFONET,2010,59.58
NOR,,1997,42.48
CHE,,2000,42.6
,CARINFONET,1990,87.91
,CIS,2006,142.32
SWE,,1983,54.95
LTU,,1982,132.78
EST,,1987,101.83
,CIS,2005,156.68
TKM,,1994,68.14
FRA,,1972,94.35
DNK,,1996,52.34
SVN,,1998,77.51
POL,,1995,76.95
MKD,,2010,28.33
ALB,,1997,77.92
LTU,,2015,95.12
PRT,,1987,69.91
HUN,,1984,118.27
DEU,,2010,28.46
GRC,,1989,45.4
HUN,,2008,60.85
BEL,,1988,59.88
GRC,,1988,44.33
CHE,,1991,66.14
POL,,1979,20.18
PRT,,1979,71.73
ROU,,2004,60.08
GRC,,2003,32.54
TKM,,1998,61.88
HUN,,1980,114.29
BLR,,2003,161.6
FRA,,1982,83.93
ISR,,1977,55.01
LVA,,1999,156.31
,CARINFONET,1993,114.21
AUT,,1993,57.36
ISL,,2012,33.32
CZE,,1993,78.43
ISR,,1986,55.65
SVN,,2007,65.86
MDA,,2008,100.22
,CARINFONET,2012,54.92
BGR,,1994,66.8
BGR,,1999,52.21
LVA,,2007,118.71
SMR,,2005,26.08
GBR,,2008,28.29
GRC,,2005,33.7
AZE,,1991,51.85
POL,,2011,55.49
CZE,,1997,70.6
ESP,,2012,21.54
,EU_BEFORE_MAY2004,2010,30.75
MKD,,2005,29.97
UZB,,2011,33.03
GEO,,2007,29.21
,EU_BEFORE_MAY2004,1972,69.22
HRV,,2007,56.38
HRV,,2006,53.12
TKM,,2013,41.7
KAZ,,1990,114.65
FIN,,1996,73.52
SRB,,2013,35.72
GEO,,1997,32.87
PRT,,1991,67.1
TJK,,1986,49.77
LUX,,1979,81.13
POL,,1983,76.69
BEL,,1987,62.5
LUX,,2007,44.9
LVA,,2009,91.34
NLD,,2015,29.19
CHE,,1970,86.56
BEL,,1975,75.73
HUN,,1992,118.24
,EU_AFTER_MAY2004,2013,49.6
CHE,,1997,42.35
FRA,,2001,55.58
SWE,,1994,44.75
HUN,,1976,104.4
,WHO_EURO,2012,52.06
,EU_AFTER_MAY2004,1987,80.79
FRA,,1985,79.22
UZB,,2010,34.49
FIN,,1998,73.62
BGR,,1980,61.06
ALB,,2009,31.78
HUN,,1974,103.63
ITA,,1994,39.61
ARM,,1993,68.65
MLT,,1976,33.61
FIN,,1991,87.52
CYP,,2007,37.89
ISL,,2015,35.46
CZE,,1992,80.87
EST,,2010,76.56
KGZ,,1999,95.68
ARM,,1981,48.48
LVA,,2000,153.03
ALB,,1987,25.4
MKD,,2006,33.4
HUN,,1971,99.9
ISL,,1998,42.44
CHE,,1972,85.13
NOR,,2015,34.94
HUN,,1978,115.1
POL,,1974,16.77
ISR,,1996,37.65
TJK,,1993,270.95
EST,,1992,152.44
MDA,,1996,119.07
GBR,,1983,36.95
SVK,,2013,50.8
,WHO_EURO,2009,58.57
,EU_AFTER_MAY2004,2004,65.72
AUT,,1970,103.47
,CARINFONET,1981,90.24
MKD,,1997,35.36
GRC,,1978,49.16
BEL,,2005,50.26
FIN,,1979,81.62
,EU_BEFORE_MAY2004,2013,29.37
IRL,,1997,39.89
DNK,,2015,25.59
UZB,,1996,60.49
GEO,,2004,43.43
,CIS,2007,133.52
BGR,,1976,58.4
TKM,,1992,69.77
LVA,,1992,168.46
,CARINFONET,2006,77.56
RUS,,1995,234.23
ROU,,2001,63.04
BGR,,1985,62.78
ROU,,2016,43.37
,CARINFONET,2004,78.12
BGR,,2008,44.88
NOR,,1981,56.2
,NORDIC,2005,45.82
SVK,,2003,56.18
,NORDIC,1996,49.58
ISL,,1984,56.47
IRL,,1985,44.79
SVK,,1999,57.96
GRC,,1972,46.66
NOR,,1989,56.99
AUT,,1987,71.94
DNK,,1971,76.12
ROU,,1989,77.33
,WHO_EURO,2015,49.93
DNK,,1988,69.57
MDA,,2011,85.05
ISR,,1989,50.88
,WHO_EURO,2010,56.56
,NORDIC,2013,37.95
,EU_AFTER_MAY2004,2012,52.75
HRV,,1992,128.51
CYP,,2016,28.64
MNE,,2007,35.77
MNE,,2003,37.79
GRC,,2015,30.07
ITA,,1993,41.12
CZE,,2013,43.46
,NORDIC,2004,48.64
AUT,,1979,90.32
SWE,,1998,38.79
FRA,,1994,64.48
NLD,,1973,57.62
CZE,,2011,47.17
NLD,,1971,61.03
SWE,,1974,69.56
GBR,,1994,28.9
RUS,,2013,117.73
IRL,,1994,40.27
HRV,,1991,146.76
IRL,,2011,35.69
BLR,,1991,111.8
,EU_BEFORE_MAY2004,2002,37.87
PRT,,2010,32.69
SVN,,1996,86.67
TJK,,1982,60.79
CZE,,2000,62.35
CHE,,1981,70.03
ESP,,1990,45.76
MNE,,2001,48.28
EST,,1986,99.49
GEO,,1996,34.22
BGR,,1996,61.02
,WHO_EURO,2011,53.5
AUT,,1999,48.12
PRT,,1990,65.13
PRT,,1973,70.55
SWE,,1992,44.21
CZE,,2010,48.07
GRC,,1998,38.26
LVA,,1996,154.17
BEL,,1995,56.7
MDA,,1997,116.9
MKD,,2011,25.21
TJK,,1990,57.28
GBR,,2010,26.3
,EU_AFTER_MAY2004,1985,84.71
CZE,,1999,61.45
GRC,,2000,36.77
DEU,,2009,27.93
GRC,,1997,37.66
,CARINFONET,2003,77.9
POL,,1987,72.94
SWE,,1972,70.99
HRV,,1994,76.03
EST,,2015,58.3
,WHO_EURO,2014,50.65
,EU_AFTER_MAY2004,2010,55.36
,SEEHN,2007,48.3
KGZ,,2000,90.21
EST,,2013,67.8
HRV,,2015,48.1
,NORDIC,1993,55.36
IRL,,1973,55.49
LUX,,1984,64.12
MLT,,1972,31.91
FIN,,1995,79.12
ITA,,2007,28.49
LTU,,1985,121.57
AUT,,1985,77.12
,NORDIC,1994,54.43
,EU_BEFORE_MAY2004,1990,49.74
,EU_BEFORE_MAY2004,1993,45.54
,NORDIC,1998,49.68
ISR,,2012,22.51
DNK,,1978,62.63
,EU_MEMBERS,1975,64.56
,CIS,1993,176.52
ALB,,1992,36.48
UZB,,1991,71.01
ISR,,1985,54.98
PRT,,1992,62.65
ISR,,1998,35.7
NLD,,2005,27.25
GEO,,1998,34.4
SMR,,1999,32.99
GEO,,2000,27.63
DNK,,1989,67.59
GRC,,2004,32.93
IRL,,2004,33.89
,NORDIC,2006,45.37
BGR,,2002,48.84
ALB,,2003,42.95
BLR,,1987,77.41
TKM,,2000,48.33
SVN,,1992,90
UKR,,2001,146.12
SRB,,2004,44.78
ISR,,1975,64.84
HRV,,1998,69.96
MKD,,2012,27.14
NLD,,2003,28.55
UZB,,1993,55.54
SVK,,2000,57.65
ARM,,2003,36.02
IRL,,2003,35.28
KAZ,,1985,108.79
POL,,1976,19.84
GEO,,2013,31.39
BLR,,1982,98.28
NOR,,2007,39.11
HUN,,1979,115.15
TJK,,1985,55.28
,WHO_EURO,2002,81.85
CYP,,2006,34.49
TUR,,2014,29.01
BLR,,1988,84.99
UKR,,2006,130.33
NOR,,1978,55.66
SWE,,1991,47.92
SVK,,1992,78.73
TKM,,2012,28.12
LUX,,1974,80.47
FIN,,1982,75.31
NLD,,1997,29.18
BLR,,1999,169.06
,NORDIC,2007,44.47
ALB,,1993,43.7
BEL,,1982,75.9
NOR,,2014,37.36
GRC,,1995,39.23
,EU_AFTER_MAY2004,2011,52.62
BGR,,1982,62
,EU_AFTER_MAY2004,1986,81.78
BGR,,2011,32.46
CYP,,2015,28.27
,NORDIC,1995,52.73
GRC,,1994,38.39
LUX,,1990,58.4
NLD,,1979,46.51
LUX,,1985,69.37
CHE,,1994,57.8
LUX,,1998,46.1
FIN,,2013,51.56
,EU_BEFORE_MAY2004,2014,29.01
,CIS,1991,123.62
MLT,,2009,27.86
ESP,,2014,22.09
,EU_BEFORE_MAY2004,1979,59.99
MLT,,2008,27.51
MDA,,1993,113.59
,CARINFONET,1995,93.19
POL,,2007,59.77
BEL,,1980,80.1
,NORDIC,1989,64.46
ISL,,2010,38.59
TJK,,2002,38.42
HUN,,1998,90.34
ISR,,1984,48.45
,EU_BEFORE_MAY2004,1995,43.16
UKR,,2015,73.62
EST,,1988,102.16
DNK,,1991,60.6
SWE,,2010,35.43
TJK,,1996,60.03
LVA,,1998,158.46
SVN,,2000,70.26
UZB,,2001,52.51
HUN,,1994,106.31
POL,,1989,77.12
HUN,,2010,57.35
LVA,,2015,75.39
HUN,,1990,121.05
BGR,,1989,61.88
IRL,,2012,33.36
FIN,,1970,96.08
LUX,,1976,76.12
SVK,,1993,74.84
SMR,,1998,24.19
ISR,,2006,28.63
UZB,,2002,52.38
AUT,,1992,57.67
POL,,2003,62.44
UKR,,1981,107.51
MDA,,2000,101.07
AUT,,2004,42.56
GEO,,1989,61.15
ARM,,1989,75.3
UZB,,1989,68.23
,CIS,1998,147.62
CHE,,1971,87.32
FRA,,2010,43.22
HRV,,1996,72.08
BGR,,1974,56.24
ITA,,1975,54.99
SVN,,1999,77.06
BEL,,1999,54.19
FIN,,1973,94.88
RUS,,2005,204.25
MLT,,1988,22.81
SVN,,2013,50.93
POL,,1977,20.8
AZE,,1981,56.18
,EU_BEFORE_MAY2004,1986,51.32
SVK,,2006,54.45
LVA,,2004,132.34
BLR,,1990,103.4
TKM,,2006,52.61
PRT,,1976,80.16
HRV,,2016,46.13
FRA,,2013,38.43
BLR,,2005,165.62
ISR,,1992,42.72
HRV,,2011,48.28
ITA,,2009,26.86
NOR,,1993,46.47
DEU,,2012,26.91
MKD,,2003,33.33
,CIS,2004,161.14
,NORDIC,2008,43.95
SRB,,2009,42.62
POL,,2015,44.34
NLD,,1970,63.32
SWE,,1980,62.74
CZE,,2007,51.66
AUT,,1974,99.21
LTU,,1990,122.74
MKD,,2001,38.16
IRL,,2005,36.75
CZE,,2008,50.12
GRC,,2014,25.55
MKD,,1999,41.85
SWE,,1970,66.74
RUS,,2012,122.89
CHE,,1983,74.95
MLT,,1970,24.93
,SEEHN,1995,67.36
CHE,,1984,69.63
,CIS,2013,92.68
GEO,,2012,34.78
CYP,,2004,39.25
CZE,,2015,43.12
FIN,,1976,88.53
RUS,,2009,144.68
BEL,,1983,74.28
UZB,,1990,71.06
EST,,1998,162.52
,EU_BEFORE_MAY2004,2015,29.46
GBR,,1985,36.05
,NORDIC,1988,64.89
,EU_BEFORE_MAY2004,1999,39.83
LTU,,2013,108.26
,NORDIC,2012,37.8
,NORDIC,1990,61.65
HRV,,1989,85
AZE,,2007,28.57
,EU_BEFORE_MAY2004,1987,49.68
LTU,,2007,152.48
BEL,,2010,47.32
LTU,,1997,154.63
AZE,,1997,38.47
,CIS,1981,129.68
PRT,,2003,45.98
,CIS,2001,166.36
,NORDIC,1991,59.75
KAZ,,2002,151.56
,CIS,2000,161.9
KAZ,,2010,114.44
SRB,,2000,49.2
SRB,,2007,44.87
LUX,,1991,68.41
LUX,,1975,84.83
ISL,,1983,64.09
BLR,,2000,156.29
LTU,,2003,148.89
,CIS,2012,95.86
,EU_BEFORE_MAY2004,1998,40.59
GBR,,1977,42.02
LUX,,1997,48.75
DNK,,1997,53.05
MNE,,2008,35.53
LVA,,1993,211.16
TKM,,1996,55.66
POL,,2005,62.57
POL,,2001,64.09
,NORDIC,1992,56.97
LUX,,1972,87.57
UKR,,2002,153.17
PRT,,2000,40.72
ISL,,2002,38.82
KGZ,,1990,112.16
HUN,,1997,90.08
,CIS,2002,169.58
HUN,,2009,58.96
EST,,1999,153.26
,EU_BEFORE_MAY2004,1997,41.3
CHE,,2002,39.83
,EU_MEMBERS,1971,72.33
MLT,,1984,27.47
,EU_BEFORE_MAY2004,1989,50.16
TKM,,1997,55.8
EST,,1985,115.98
,WHO_EURO,2004,77.66
GBR,,2005,28.19
NOR,,1979,57.5
NLD,,1981,41.14
NOR,,1998,42.48
CZE,,1990,84.82
,NORDIC,2015,36.93
GRC,,1980,47.23
NOR,,1976,57.33
SWE,,2006,37.51
BGR,,1987,60.62
ESP,,2009,24.44
ISR,,1991,41.67
ISR,,1979,53.19
FRA,,1981,84.47
,EU_BEFORE_MAY2004,1994,44.24
,EU_BEFORE_MAY2004,1985,51.89
ITA,,2010,25.29
GBR,,1972,45.14
ISR,,1981,36.65
MKD,,1993,41.7
,EU_BEFORE_MAY2004,1991,49.15
LVA,,2003,138.65
ISR,,2001,36.38
HRV,,1986,76.65
CYP,,2014,28.91
UZB,,2004,47.52
SWE,,1986,52.22
,NORDIC,1985,62.31
ISL,,1980,66.3
BGR,,1981,59.44
HUN,,1999,92.29
DNK,,1990,61.67
CHE,,2007,37.65
KAZ,,2014,93.62
BEL,,1976,76.4
LTU,,2014,100.02
HRV,,1997,67.3
BEL,,1972,84.15
KGZ,,1997,103.45
LUX,,1999,45.28
HRV,,2014,46.18
DEU,,1996,39.84
,EU_BEFORE_MAY2004,1996,42.03
ITA,,1988,44.06
EST,,2003,125.5
PRT,,1974,70.62
LTU,,1987,100.91
MDA,,1999,104.51
GBR,,2015,29.33
GBR,,2001,29.28
RUS,,1986,105.37
KGZ,,1981,99.79
SMR,,1996,27.23
BLR,,2004,162.18
POL,,1996,72.4
SVN,,2006,66.39
TKM,,2002,53.42
EST,,2007,109.33
SVK,,1997,70.26
UKR,,2000,143.37
AUT,,2011,36.87
HUN,,1983,119.13
GRC,,1979,46.87
BLR,,1996,155.7
NOR,,1988,55.92
RUS,,1989,127.8
CHE,,2001,41.47
EST,,2000,137.53
DNK,,1995,55.85
ITA,,2014,22.23
FIN,,1981,76.29
,EU_BEFORE_MAY2004,1988,49.3
CZE,,1996,70.08
,NORDIC,1986,62.3
BEL,,1977,76.24
GEO,,2009,35.67
ESP,,2004,32.93
PRT,,1999,43.53
NLD,,1990,32.28
FRA,,1990,72.04
,EU_BEFORE_MAY2004,2011,30.3
BGR,,1979,61.28
MLT,,1985,45.88
,EU_BEFORE_MAY2004,1980,58.92
TJK,,1997,52.76
BLR,,1993,135.75
,EU_BEFORE_MAY2004,2001,38.64
AZE,,2003,28.88
CHE,,1998,41.6
BEL,,2002,53.29
LTU,,1994,194.15
SWE,,1988,52.91
GRC,,1981,47.45
DNK,,2005,38.3
FIN,,2010,60.5
TKM,,1987,66.7
MLT,,2006,24.76
,EU_BEFORE_MAY2004,2000,38.93
NLD,,2011,26.32
,EU_MEMBERS,2010,35.99
SWE,,1996,38.61
HUN,,1972,98.84
ROU,,2010,53.27
AUT,,1972,106.53
GBR,,1986,35.48
LUX,,2013,37.64
MDA,,1991,124.57
CHE,,2009,34.38
ESP,,1971,44.03
AUT,,1991,61.5
ROU,,2011,46.15
GBR,,1970,46.67
LUX,,1978,81.25
HUN,,2014,46.07
FIN,,2000,70.55
DEU,,1995,41.16
CZE,,1987,80.96
NOR,,2001,40.07
ROU,,1995,80.78
AZE,,1993,81.38
SWE,,1978,67.84
KGZ,,1994,129.78
GRC,,1974,44.75
PRT,,2007,33.86
TKM,,1999,63.18
,EU_BEFORE_MAY2004,1984,53.24
DEU,,2001,34.25
NOR,,1994,42.43
ESP,,2005,31.67
KGZ,,1993,119.25
MDA,,1998,110
KGZ,,2011,78.73
MLT,,1996,22.17
ISR,,2010,25.95
GEO,,1999,34.91
PRT,,2012,27.22
MKD,,1991,40.72
,EU_BEFORE_MAY2004,1983,55.81
,EU_BEFORE_MAY2004,1982,56.15
ISR,,2015,20.89
SVN,,2015,47.55
RUS,,2011,126.82
BIH,,2014,24.26
PRT,,1998,46.59
,EU_BEFORE_MAY2004,2006,33.73
ESP,,1987,43.87
FRA,,1979,87.14
MLT,,2007,30.18
IRL,,1991,41.97
ROU,,1991,75.46
SWE,,1977,69.4
,EU_BEFORE_MAY2004,2012,29.42
FRA,,1978,83.67
LUX,,2002,52.13
,EU_BEFORE_MAY2004,2004,35.81
ITA,,1987,44.4
PRT,,1996,52.9
UZB,,1994,52.87
SWE,,1984,54.22
ALB,,1999,53.28
DNK,,1993,60.59
TJK,,1994,72.34
GBR,,1974,44.65
ISL,,1979,66.76
MLT,,1991,28.41
ROU,,2003,63.18
GEO,,1985,46.12
TUR,,2015,26.82
,EU_BEFORE_MAY2004,1981,56.8
,,,
Last update,2018.06.15 08:06:14 GMT,,
Description,Age-standardized mortality rates from all external causes and injuries,,
Reference link,https://dw.euro.who.int/api/v3/measures/H2020_14?lang=En,,
,,,
Copyright,,,
© WHO Regional Office for Europe 2020. All rights reserved.,http://www.euro.who.int/en/home/copyright-notice,,
