COUNTRY,COUNTRY_GRP,YEAR,VALUE
HRV,,1990,90.07
ITA,,2012,24.49
,NORDIC,1976,69.57
,NORDIC,1975,71.76
TKM,,2001,47.6
,EU_AFTER_MAY2004,2008,60.7
AUT,,1988,69.32
DEU,,1993,44.77
,NORDIC,1982,62.01
,SEEHN,2000,55.89
PRT,,1975,79.8
GBR,,1976,43.33
,NORDIC,1978,67.52
UKR,,2014,85.42
MNE,,2004,34.32
LVA,,2008,102.75
PRT,,1983,77.26
,SEEHN,1992,67.11
FIN,,2005,69.3
,NORDIC,1973,74.66
KGZ,,1985,80.96
MDA,,1994,124.16
CHE,,1990,66.38
SVK,,2001,56.55
,EU_MEMBERS,2000,46.09
CHE,,1985,67.82
MKD,,2013,25.61
NOR,,2000,42.69
BLR,,2011,130.38
AUT,,2006,41
,CIS,2011,99.08
,EU_MEMBERS,2004,42.37
,CARINFONET,2007,73.4
BGR,,1973,56.17
IRL,,1981,53.54
EST,,1981,140.82
,WHO_EURO,1992,82.22
FIN,,1993,79.34
TJK,,1995,57.55
,EU_MEMBERS,2009,37.12
ITA,,1990,43.38
AUT,,1996,52.62
BEL,,2013,44.54
BEL,,1985,62.36
DEU,,2004,32.02
MLT,,2015,21.88
TUR,,2012,20.35
MDA,,1985,121.03
GRC,,1971,45.2
HRV,,2002,54.7
AUT,,2005,43.99
ESP,,1994,37.63
SVN,,2004,65.15
IRL,,2006,33.41
BIH,,2011,28.08
POL,,2002,64.18
ESP,,1992,40.97
ARM,,2013,41.39
RUS,,2006,182.42
FIN,,1971,101.42
ISL,,1972,71.46
LUX,,1981,81.83
ISL,,1999,29.96
ROU,,2013,45.71
GRC,,1993,37.97
UZB,,2014,33.22
,EU_MEMBERS,1998,48.72
UKR,,1999,139.12
TKM,,1985,67.97
BEL,,1974,78.7
LUX,,1983,74.96
BLR,,1997,156.38
EST,,2011,77.8
FRA,,2003,54.06
,EU_MEMBERS,2007,38.85
MDA,,2007,103.76
HUN,,1986,118.07
MLT,,1977,40.24
,EU_MEMBERS,2013,33.65
RUS,,2004,211.95
KGZ,,1996,111.33
KAZ,,1989,111.61
TJK,,1988,57.23
AUT,,1998,46.39
HUN,,1970,97.17
CHE,,1980,72.96
,SEEHN,2010,44.54
ROU,,1999,64.55
,EU_MEMBERS,2012,34.33
CYP,,2008,35.54
,WHO_EURO,1987,65.59
RUS,,2001,219.42
FIN,,2009,63.77
TKM,,1986,66.95
FRA,,1980,85.81
POL,,2004,62.14
AUT,,2015,36.15
NLD,,2012,27.76
KGZ,,2015,62.57
GRC,,2009,29.87
ARM,,1991,59.89
HUN,,1985,120.97
AUT,,1997,49.16
,EU_MEMBERS,1993,55.15
,CIS,2010,107.11
ESP,,1979,45.42
,EU_MEMBERS,1996,50.88
RUS,,1988,112.22
POL,,1992,82.25
UKR,,1988,88.31
,EU_MEMBERS,2001,45.5
,EU_AFTER_MAY2004,1994,89.01
,EU_AFTER_MAY2004,1988,79.79
SVN,,1990,87.51
LTU,,1999,149.67
ESP,,2011,22.57
NLD,,2007,25.44
RUS,,2007,167.62
ISL,,2001,44.22
TKM,,2003,49.87
HUN,,2000,84.87
POL,,2006,61.27
DNK,,1987,68.89
ISL,,1996,35.24
NLD,,1987,34.88
GBR,,1975,43.56
MLT,,1986,17.88
CHE,,1976,70.58
POL,,1993,76.4
ARM,,2001,31.31
,NORDIC,2003,45.72
ESP,,1980,42.94
GEO,,2014,46.43
MDA,,1987,98.95
POL,,1972,17.35
FRA,,1976,87.61
DNK,,2000,49.44
,SEEHN,1991,64.71
,CIS,1995,180.94
SVN,,2009,61.13
ISR,,1987,54.85
,EU_MEMBERS,1995,53.08
BGR,,1992,66.57
,EU_MEMBERS,1990,58.5
FIN,,1994,78.96
IRL,,1976,52.45
LTU,,2016,90.77
GBR,,2007,27.62
UKR,,1998,136.36
LTU,,2000,145.67
IRL,,2000,40.38
,EU_MEMBERS,2002,44.79
MDA,,2012,85.07
FRA,,2005,48.08
CHE,,1996,43.52
NLD,,1986,36.25
RUS,,2002,223.34
UZB,,2012,33.81
DEU,,2011,27.74
MNE,,2005,36.25
CHE,,1992,62.72
ISL,,2008,36.88
ROU,,2014,44.6
SWE,,1982,53.1
KAZ,,1981,120.7
,WHO_EURO,2005,75.42
RUS,,1985,133
KGZ,,1982,99.67
ALB,,2001,45.35
MLT,,1979,30.36
,EU_AFTER_MAY2004,2005,64.45
IRL,,1977,57.62
KAZ,,2008,129.56
SVK,,2009,51.01
GRC,,2008,29.64
,CARINFONET,1986,72.35
ITA,,2006,29.11
GRC,,1970,45.5
BGR,,1991,56.48
,CIS,1992,143.04
CHE,,2008,36.26
MLT,,1975,30.32
,EU_MEMBERS,1992,57
SVK,,2007,52.2
,EU_MEMBERS,1994,54.57
GEO,,2001,28.21
BGR,,1986,60.19
,EU_MEMBERS,1997,49.86
ESP,,1981,41.96
LUX,,2000,51.19
ISL,,2016,41.78
HUN,,1996,94.91
AZE,,1987,49.87
CHE,,2004,37.7
MLT,,1987,19.29
GBR,,1993,29.51
ISR,,2011,24.74
AUT,,1982,85.28
ROU,,2007,55.09
ALB,,1988,27.2
BLR,,2010,138.32
NOR,,2003,43.75
UKR,,1987,84.82
GRC,,1986,43.57
LUX,,1987,67.38
IRL,,1990,44.41
MLT,,2010,24.9
GRC,,1985,46.65
NOR,,2010,39.97
SWE,,2014,35.92
CZE,,2005,55.02
AZE,,1992,99
HUN,,2011,54.01
,WHO_EURO,1997,79.76
ITA,,2005,29.63
UZB,,2013,34.54
ITA,,2002,33.99
HUN,,2013,48.41
CHE,,1973,78.85
,CARINFONET,2000,81.27
MLT,,1983,29.9
ITA,,1999,35.71
DNK,,1984,69.34
DNK,,1981,69.39
GRC,,2011,26.32
ITA,,2013,23.95
IRL,,1995,39.74
NOR,,2002,40.25
NOR,,1983,55.36
AUT,,1980,85.69
HUN,,1987,116.11
BLR,,1986,77.38
,EU_MEMBERS,1999,47.43
,EU_MEMBERS,2011,35.03
BLR,,1995,150.64
LTU,,1998,152.48
MDA,,1981,120.68
,EU_AFTER_MAY2004,2009,57.02
SWE,,1985,51.83
MKD,,1992,37.2
KGZ,,1998,100.18
,EU_BEFORE_MAY2004,1978,60.24
BIH,,1990,49.58
SVN,,1995,82.43
ISR,,1980,41.2
NOR,,1980,60.57
,NORDIC,1974,72.84
ITA,,2001,34.46
HUN,,1977,107.6
TUR,,2010,21.23
KAZ,,2000,154.57
ALB,,2004,41.89
LUX,,2010,41.61
,NORDIC,1981,63.25
,NORDIC,1983,62.62
GBR,,1988,34.18
GBR,,1995,28.55
BGR,,2005,44.97
KGZ,,2010,86.82
,SEEHN,1996,66.34
,EU_AFTER_MAY2004,1996,80.71
NOR,,1975,59.46
FRA,,2007,44.61
EST,,2014,66.21
IRL,,2008,37.8
EST,,2009,87.64
BEL,,2004,49.88
BGR,,2009,39.23
AZE,,1982,52.58
FIN,,1990,90.07
TJK,,1991,53.9
NLD,,1972,58.75
UKR,,1985,92.79
SWE,,1999,37.52
AUT,,1975,96.57
IRL,,2013,31.31
LUX,,1982,86.12
HRV,,2004,55.91
CZE,,2016,40.84
AZE,,1996,42.55
DNK,,2014,27.57
GRC,,1982,47.35
IRL,,1971,52.7
BEL,,2015,43.82
LUX,,2012,36.38
ESP,,1998,37.5
SRB,,2003,45.74
MDA,,2015,74.19
SRB,,2014,33.99
KGZ,,2002,89.29
NLD,,2000,28.54
ROU,,2009,53.91
SWE,,2015,38.04
,CARINFONET,1987,73.85
MNE,,2002,38.29
MLT,,1993,22.92
TKM,,1988,69.39
AUT,,1984,80.71
ITA,,2003,32.27
UZB,,1997,56.83
,EU_AFTER_MAY2004,1995,86.29
NOR,,1977,56.36
,EU_AFTER_MAY2004,1989,83.26
IRL,,1984,43.56
DEU,,1997,38.26
ESP,,2007,28.36
LTU,,1992,143.91
BEL,,1979,77.88
GEO,,1990,57.9
MLT,,1981,38.99
NOR,,1990,54.21
CHE,,1979,72.12
BGR,,1975,58.54
NOR,,2005,41.43
ISR,,2008,28.42
SWE,,1981,55.61
GEO,,2015,41.63
HUN,,2016,43.99
SRB,,2006,44.63
AZE,,1988,50.66
ESP,,1978,46.71
BLR,,2001,163.8
GBR,,2003,28.61
MKD,,1998,39.34
DNK,,2004,36.8
SRB,,2002,46.51
ARM,,2016,41.96
PRT,,1984,74.75
AZE,,2001,27.37
GRC,,1984,47.59
BGR,,1990,60.85
