COUNTRY,COUNTRY_GRP,YEAR,VALUE
EST,,1987,70.93
UZB,,1978,68.11
UZB,,1979,67.9
DNK,,2007,78.61
GEO,,1992,72.93
LVA,,1970,69.89
LVA,,1972,70.05
GRC,,1981,75.76
RUS,,1984,67.61
CZE,,1991,72.06
BLR,,2013,72.8
LVA,,1975,69.16
GRC,,2015,81.1
FRA,,1987,76.88
ITA,,1990,77.2
RUS,,1980,67.54
BLR,,2014,73.37
FRA,,1997,79.24
,CIS,1985,68.66
LVA,,1986,71
SRB,,2004,72.77
,CARINFONET,1999,68.72
RUS,,1970,68.51
ITA,,1995,78.17
,SEEHN,2003,73
,NORDIC,1989,76.43
LVA,,1993,66.7
,SEEHN,1995,71.16
LUX,,2008,81.54
RUS,,1988,69.79
ITA,,1970,71.62
AUT,,1983,73.26
,SEEHN,1990,71.33
,SEEHN,1994,71.16
TUR,,2012,79.88
EST,,2009,75.38
ROU,,2011,74.6
HUN,,2016,76.33
IRL,,2004,78.69
SRB,,2000,71.7
KGZ,,1981,66.89
GEO,,1995,74.22
GRC,,1983,75.8
AUT,,1982,73.26
GEO,,1989,72.21
UZB,,1984,67.26
SRB,,2002,72.39
LUX,,1973,70.83
CHE,,1997,79.46
GBR,,1974,72.33
,EU_AFTER_MAY2004,1993,71
,WHO_EURO,2004,74.73
BLR,,2005,68.84
MDA,,1995,65.88
,EU_MEMBERS,1984,74.18
DEU,,1999,78.09
,EU_MEMBERS,1986,74.42
DNK,,1976,73.92
,SEEHN,1989,71.15
ARM,,1978,72.64
AND,,2006,81.5
LVA,,1992,68.59
ARM,,1984,72.64
,EU_MEMBERS,2002,77.87
,EU_MEMBERS,1999,77.01
GRC,,1985,75.99
,EU_MEMBERS,1996,76.32
PRT,,1984,72.71
RUS,,1989,69.65
TUR,,2010,76.99
ALB,,2000,75.1
ESP,,1975,73.26
ITA,,1996,78.56
GEO,,1988,71.91
FRA,,1982,75.41
HUN,,1972,69.83
LUX,,1981,72.45
ARM,,2001,75.9
UKR,,2000,67.88
,WHO_EURO,1987,73.3
ISR,,2003,79.72
ISR,,1989,76.38
SWE,,2009,81.6
FIN,,1970,70.4
UZB,,1983,67.3
ISR,,1977,73.11
GRC,,1982,76
ITA,,2013,82.92
ESP,,2001,79.8
SWE,,1979,75.66
LUX,,1975,71.03
ISR,,1984,75.02
FRA,,1988,77.15
TJK,,2000,72.5
ESP,,1998,78.73
CHE,,1992,78.22
SVK,,1987,72.34
ISR,,2011,82.33
DNK,,1981,74.46
SVN,,2011,80.24
,SEEHN,1992,71.14
LUX,,1997,77.79
HUN,,2012,75.33
,SEEHN,2002,72.77
ESP,,1997,78.71
UKR,,2006,67.99
LUX,,2002,78.96
,NORDIC,1986,76.01
CZE,,2005,76.18
LTU,,1994,68.6
,EU_AFTER_MAY2004,2009,75.29
EST,,1988,71.01
IRL,,2003,78.28
UZB,,1970,72.85
EST,,1997,70.19
DNK,,2010,79.52
CHE,,2010,82.82
UZB,,1974,70.06
AUT,,1979,72.61
UZB,,1976,68.4
AZE,,1997,71
DNK,,1975,74.27
AZE,,2000,71.6
SVN,,1993,73.6
TUR,,2014,78.55
FIN,,1985,74.48
CHE,,2005,81.57
EST,,2014,77.47
PRT,,2014,81.39
HUN,,1998,70.97
HUN,,1981,69.23
RUS,,1993,65.14
LVA,,1976,69.01
ISR,,1985,75.37
CZE,,1980,70.3
CZE,,1981,70.65
PRT,,1996,75.34
,EU_AFTER_MAY2004,1984,70.57
KGZ,,2012,70.25
HUN,,2005,73.01
,CIS,1982,68.7
,SEEHN,1993,71.22
,CIS,1990,69.64
GRC,,1984,76.25
IRL,,1985,73.53
ESP,,1991,77.09
EST,,2006,73.28
SWE,,2015,82.23
CZE,,2011,78.06
CHE,,2004,81.44
FIN,,2012,80.83
RUS,,1976,67.92
EST,,2007,73.33
DNK,,1974,74.04
DEU,,2009,80.41
BIH,,2011,76.66
IRL,,1984,73.63
HRV,,2016,78.27
CZE,,1990,71.52
,WHO_EURO,1979,71.69
EST,,2000,71.3
LUX,,1976,71.02
UKR,,1986,71.36
TJK,,1987,69.16
TUR,,2015,78.63
,EU_BEFORE_MAY2004,1975,72.68
GRC,,1990,77.19
LTU,,2004,72.05
PRT,,1977,70
KAZ,,2003,65.94
,WHO_EURO,2011,77.14
PRT,,1987,73.82
GRC,,2008,80.13
GEO,,1996,75.15
CZE,,1982,70.75
MDA,,2008,69.41
TKM,,2013,70.68
BGR,,1996,70.94
,EU_AFTER_MAY2004,1974,70.8
,CARINFONET,2002,68.96
,SEEHN,2001,72.87
HUN,,1993,69.17
,SEEHN,2000,72.51
LUX,,1978,72.04
,SEEHN,2005,73.58
CHE,,1988,77.62
MLT,,1977,71.23
SRB,,2010,74.39
TJK,,1992,68.02
GEO,,2010,74.74
ITA,,2001,80.09
IRL,,1987,74.4
PRT,,1994,75.52
,WHO_EURO,1993,72.62
GEO,,1998,73.9
CZE,,1987,71.58
PRT,,1990,74.1
UKR,,1973,70.83
HUN,,2009,74.45
GEO,,2005,74.09
,EU_AFTER_MAY2004,2006,74.45
GEO,,1990,72.99
,NORDIC,1988,76.07
FRA,,2004,80.5
KAZ,,2015,72.04
CZE,,2010,77.81
,WHO_EURO,2010,76.73
CHE,,1972,73.88
PRT,,2013,80.97
BLR,,2010,70.52
NOR,,1982,76.21
BGR,,1999,71.66
PRT,,2008,79.55
FRA,,2011,82.41
NOR,,1984,76.41
NOR,,2004,80.17
MKD,,1991,72.14
TJK,,2002,72.15
ROU,,2013,75
DNK,,2005,78.44
,NORDIC,1983,75.71
NLD,,1997,78.1
GRC,,1972,73.99
GRC,,1994,77.73
SWE,,2014,82.44
GRC,,1995,77.67
LUX,,1980,72.7
,EU_AFTER_MAY2004,2008,75.04
,EU_BEFORE_MAY2004,2012,81.64
EST,,1999,70.64
SWE,,2008,81.35
ISR,,1973,72.33
MNE,,2001,73.85
IRL,,1998,76.24
UZB,,1973,70.64
KGZ,,1989,68.54
UZB,,1975,68.25
GBR,,1989,75.56
GRC,,1991,77.32
EST,,2001,71.03
SVN,,1988,73.13
GBR,,1970,71.87
HUN,,1982,69.41
RUS,,1986,70
UKR,,1985,69.94
RUS,,2001,65.38
,CARINFONET,1987,68.5
,EU_AFTER_MAY2004,1989,70.91
GBR,,2006,79.66
AUT,,1994,76.71
LUX,,1994,77.05
CHE,,2003,80.81
LVA,,1977,69.3
LVA,,1978,69.21
LVA,,1979,68.76
LVA,,1987,71.05
,EU_AFTER_MAY2004,2002,73.44
HUN,,1976,69.65
ROU,,2016,75.37
ARM,,1983,72.83
NLD,,2012,81.33
ESP,,1994,78.07
LUX,,1982,72.55
,EU_MEMBERS,1995,76.07
MLT,,2000,78.23
,SEEHN,1986,71.04
DEU,,2007,80.21
DNK,,1997,76.27
DEU,,2011,80.95
TUR,,2011,77.23
FIN,,1986,74.87
EST,,2008,74.44
,WHO_EURO,1973,71.23
,WHO_EURO,1974,71.46
IRL,,1996,75.88
MLT,,2004,79.43
GBR,,2011,81.21
SWE,,1994,79.03
SWE,,1990,77.77
DNK,,2008,78.98
SRB,,2013,75.31
SWE,,1974,75.1
SRB,,2005,72.86
RUS,,1983,68.2
GEO,,1982,71.86
GEO,,1999,73.84
ISR,,2010,82.23
LTU,,2002,71.86
MDA,,2005,67.75
CZE,,2001,75.49
ARM,,1971,74.26
UZB,,2013,73.55
RUS,,1992,67.92
,CARINFONET,1986,68.5
ISL,,1977,76.55
,EU_BEFORE_MAY2004,1990,76.48
DEU,,1990,75.53
KGZ,,1991,68.77
LVA,,1989,70.51
,EU_BEFORE_MAY2004,2003,79.12
IRL,,2001,77.23
RUS,,2004,65.4
HUN,,1995,70.05
AUT,,2000,78.47
,SEEHN,2006,74.05
BIH,,1988,72.11
CZE,,1993,72.94
ISL,,2011,82.54
TJK,,1994,65.85
BIH,,1990,72.98
IRL,,1971,71.6
UKR,,1970,70.58
UKR,,2012,71.29
,WHO_EURO,1986,73.11
TJK,,1995,68.31
ITA,,1983,74.75
ITA,,1981,74.9
ITA,,1999,79.34
TJK,,1996,68.59
HUN,,1990,69.45
HUN,,1999,70.75
CZE,,2008,77.42
ISR,,2009,82.07
ISR,,1987,75.5
UKR,,1988,71.02
TJK,,1998,70.92
TJK,,1999,71.92
BGR,,1974,71.17
