COUNTRY,COUNTRY_GRP,AGE_GRP_4,SEX,YEAR,VALUE
MNE,,GTE65,MALE,2000,348.52
MNE,,GTE65,ALL,2004,248.41
MNE,,GTE65,MALE,2009,348.9
MNE,,GTE65,ALL,2008,257.42
MNE,,GTE65,ALL,2006,266.59
MNE,,GTE65,FEMALE,2009,195.23
NLD,,GTE65,ALL,2012,406.72
NLD,,GTE65,MALE,2012,559.52
NLD,,GTE65,FEMALE,2012,318.57
PRT,,GTE65,MALE,1988,695.5
PRT,,GTE65,FEMALE,1992,283.18
PRT,,GTE65,FEMALE,1994,285.76
PRT,,GTE65,FEMALE,1995,330.91
PRT,,GTE65,FEMALE,2001,309.07
PRT,,GTE65,ALL,2003,454.87
PRT,,GTE65,ALL,1986,455.06
PRT,,GTE65,MALE,1994,655.16
PRT,,GTE65,MALE,2007,681.16
PRT,,GTE65,MALE,2012,706.66
PRT,,GTE65,FEMALE,1996,338.05
PRT,,GTE65,ALL,1992,410.35
PRT,,GTE65,ALL,1998,509.06
PRT,,GTE65,ALL,1993,471.23
PRT,,GTE65,ALL,2012,512.32
PRT,,GTE65,ALL,1985,490.77
PRT,,GTE65,ALL,2009,495.03
PRT,,GTE65,FEMALE,1991,299.14
PRT,,GTE65,FEMALE,1993,334.01
PRT,,GTE65,FEMALE,1998,352.37
PRT,,GTE65,FEMALE,2002,308.24
PRT,,GTE65,ALL,1994,424
PRT,,GTE65,FEMALE,1997,349.61
PRT,,GTE65,MALE,1998,762.95
PRT,,GTE65,FEMALE,2008,363.9
PRT,,GTE65,MALE,1999,874.67
PRT,,GTE65,MALE,1997,753.31
PRT,,GTE65,MALE,2002,662.38
PRT,,GTE65,MALE,1987,638.22
PRT,,GTE65,MALE,1990,710.79
PRT,,GTE65,MALE,2001,640.41
PRT,,GTE65,FEMALE,1987,299.86
PRT,,GTE65,ALL,2000,527.79
PRT,,GTE65,ALL,1996,482.19
PRT,,GTE65,ALL,2002,442.51
PRT,,GTE65,MALE,2003,666.52
PRT,,GTE65,MALE,1992,620.35
PRT,,GTE65,FEMALE,2007,347.16
PRT,,GTE65,FEMALE,2009,373.41
PRT,,GTE65,ALL,2011,446.51
PRT,,GTE65,ALL,2008,489.24
PRT,,GTE65,ALL,1991,448.41
PRT,,GTE65,MALE,2000,751.29
PRT,,GTE65,MALE,1996,715.34
PRT,,GTE65,MALE,1991,695.29
PRT,,GTE65,MALE,1985,762.08
PRT,,GTE65,MALE,2008,693.54
PRT,,GTE65,ALL,2001,436.11
PRT,,GTE65,FEMALE,2000,388.92
PRT,,GTE65,MALE,1993,700.08
PRT,,GTE65,FEMALE,2003,325.88
PRT,,GTE65,ALL,2007,473.76
PRT,,GTE65,FEMALE,1985,338.23
PRT,,GTE65,FEMALE,1989,293.45
PRT,,GTE65,FEMALE,1990,337.93
