,country_name,alpha_3_code,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BG,Bulgaria,BGR,4.775565147399902,5.075918674468994,5.430456638336182,5.409671306610107,5.487639427185059,6.069184303283691,6.366175174713135,6.560850620269775,6.797883987426758,7.122761249542236,7.114667892456055,7.478356838226318,7.950088977813721,8.096719741821289,8.817663192749023,9.066661834716797,9.81240463256836,10.434976577758789,10.749715805053711,11.290351867675781,11.60163688659668,11.962323188781738,12.461787223815918,12.898399353027344,13.377317428588867,14.26905345916748,14.875889778137207,15.508454322814941,16.10702133178711,16.478864669799805,16.93771743774414,17.346115112304688,17.82064437866211,17.93801498413086,18.29850196838379
ME,Montenegro,MNE,5.566479682922363,5.9493865966796875,6.402109146118164,6.597036838531494,6.493679523468018,6.8853373527526855,7.4393157958984375,7.670835018157959,7.624356269836426,7.951951503753662,7.885766983032227,8.432923316955566,8.727741241455078,9.113515853881836,9.539532661437988,9.899803161621094,10.482172012329102,10.630352973937988,11.144096374511719,11.218032836914062,11.486539840698242,11.591154098510742,11.767058372497559,12.2345609664917,12.230990409851074,12.568002700805664,12.817623138427734,13.624347686767578,14.223559379577637,14.33642864227295,14.610220909118652,15.003899574279785,14.956506729125977,15.089068412780762,16.010093688964844
HR,Croatia,HRV,5.558782577514648,5.893194675445557,6.358431339263916,6.567042827606201,6.4810404777526855,6.860918998718262,7.396890640258789,7.706898212432861,7.794753551483154,8.101734161376953,8.092098236083984,8.853899002075195,9.673321723937988,10.216712951660156,10.89370346069336,11.778435707092285,12.455824851989746,12.715039253234863,13.304692268371582,13.605403900146484,13.971803665161133,14.331210136413574,14.921863555908203,15.297959327697754,15.409067153930664,15.730196952819824,16.047988891601562,16.81460189819336,17.532611846923828,17.865671157836914,18.148845672607422,18.758302688598633,18.89461326599121,19.394506454467773,20.644166946411133
XK,Kosovo,XXK,3.8348445892333984,4.159826278686523,4.405307769775391,4.226169586181641,4.319160461425781,4.583758354187012,4.631814002990723,4.700491905212402,4.786018371582031,4.761043071746826,4.921320915222168,5.139049053192139,5.282072067260742,5.330524444580078,5.46217679977417,5.826841354370117,6.148019313812256,6.51761531829834,6.723755359649658,6.804895401000977,6.756219387054443,7.037243843078613,7.165694236755371,7.323755264282227,7.27329158782959,7.715181827545166,7.811962604522705,8.08125114440918,8.337167739868164,8.470559120178223,8.655622482299805,8.895715713500977,8.680788040161133,8.991836547851562,9.093226432800293
RS,Serbia,SRB,5.0563530921936035,5.308526515960693,5.427066326141357,5.208669185638428,5.2570319175720215,5.4764533042907715,5.688067436218262,5.703356742858887,5.73203182220459,5.710903644561768,5.799619197845459,6.034786701202393,6.327703952789307,6.287484169006348,6.339388370513916,6.538784503936768,6.787302494049072,6.921935558319092,7.160481929779053,7.202021598815918,7.160079479217529,7.387388229370117,7.544217109680176,7.676872730255127,7.635258197784424,7.958157539367676,8.201004028320312,8.526334762573242,8.689720153808594,8.836502075195312,8.94293212890625,9.050251007080078,8.912510871887207,9.169845581054688,9.397181510925293
AD,Andorra,AND,3.640991687774658,3.772350549697876,3.924325942993164,3.637000799179077,3.6999847888946533,3.924069404602051,4.112756252288818,4.292503833770752,4.534290790557861,4.831174850463867,4.957489490509033,5.287616729736328,5.482822895050049,5.662760257720947,5.9340314865112305,6.011661052703857,6.361067295074463,6.570079803466797,6.7809295654296875,7.040928363800049,7.090624809265137,7.35465145111084,7.602141380310059,7.845129489898682,8.134078025817871,8.314908981323242,8.61391544342041,9.098124504089355,9.348962783813477,9.842408180236816,10.212418556213379,10.726141929626465,10.913168907165527,11.658431053161621,12.356054306030273
BA,Bosnia and Herzegovina,BIH,5.931134223937988,6.236642360687256,6.520763397216797,6.2654709815979,6.310000896453857,6.6603240966796875,6.979457855224609,7.030923843383789,7.047196865081787,6.995448589324951,7.152854919433594,7.576891899108887,7.885509967803955,8.128249168395996,8.574816703796387,8.912870407104492,9.291481018066406,9.418342590332031,9.80478286743164,10.003316879272461,10.133541107177734,10.428139686584473,10.820878028869629,11.056112289428711,11.184221267700195,11.470311164855957,11.759007453918457,12.394091606140137,12.741377830505371,13.062945365905762,13.184868812561035,13.528397560119629,13.195744514465332,13.5496826171875,14.04227352142334
RO,Romania,ROU,4.657812595367432,5.128303050994873,5.226248264312744,5.705979347229004,5.821718215942383,6.353906631469727,6.703906536102295,6.777150630950928,7.060186386108398,7.454779148101807,7.604183673858643,7.980542182922363,8.440698623657227,8.625149726867676,9.284063339233398,9.45856761932373,9.973380088806152,10.393976211547852,10.739076614379883,11.269639015197754,11.632275581359863,11.902449607849121,12.219805717468262,12.440502166748047,12.832731246948242,13.542939186096191,13.885689735412598,14.671761512756348,15.096092224121094,15.431500434875488,15.953160285949707,16.4577579498291,16.506105422973633,16.735034942626953,17.1102294921875
UA,Ukraine,UKR,6.032311916351318,6.356201648712158,6.529441833496094,6.768882751464844,6.912376403808594,7.237125873565674,7.529638767242432,7.6064300537109375,7.894043922424316,8.19952392578125,8.446527481079102,8.99367618560791,9.370824813842773,9.554415702819824,10.309575080871582,10.532533645629883,11.064407348632812,11.646707534790039,11.797469139099121,12.390666961669922,12.902571678161621,13.199460983276367,13.475252151489258,13.879862785339355,14.464279174804688,15.238442420959473,15.621235847473145,16.42938995361328,16.74822998046875,17.248239517211914,17.8778076171875,18.470325469970703,18.705034255981445,19.193586349487305,19.41114616394043
MC,Monaco,MCO,4.55228853225708,4.662603855133057,4.8022589683532715,5.010615348815918,5.035905361175537,5.245646953582764,5.715067386627197,6.252664566040039,6.3817667961120605,6.941056728363037,7.002176761627197,7.562782287597656,8.112482070922852,8.604782104492188,9.16919994354248,10.108455657958984,10.842547416687012,10.859626770019531,11.501546859741211,11.977632522583008,12.63283920288086,12.873665809631348,13.431645393371582,13.793500900268555,14.114742279052734,14.486282348632812,15.205887794494629,15.865629196166992,16.716094970703125,17.000703811645508,17.334978103637695,17.99398422241211,18.168684005737305,18.71881103515625,19.87811851501465
SM,San Marino,SMR,4.01959753036499,4.2516045570373535,4.394672393798828,4.185391426086426,4.200806617736816,4.4383134841918945,4.7135233879089355,4.883835315704346,4.999040603637695,5.067378044128418,5.256690502166748,5.5709686279296875,5.993809223175049,6.0299553871154785,6.286563396453857,6.502830982208252,6.822121620178223,7.073123931884766,7.390459060668945,7.624644756317139,7.696702480316162,7.995869159698486,8.372978210449219,8.6832857131958,8.790416717529297,9.05968189239502,9.18777847290039,9.80144214630127,10.200644493103027,10.504913330078125,10.432631492614746,10.69874382019043,10.714726448059082,11.074995040893555,11.470192909240723
SI,Slovenia,SVN,5.102012634277344,5.2989959716796875,5.5017313957214355,5.414949893951416,5.4497199058532715,5.712793350219727,6.016817092895508,6.323569297790527,6.3815083503723145,6.64000940322876,6.797986030578613,7.370823860168457,7.7908148765563965,8.314925193786621,8.937867164611816,9.485445976257324,10.161337852478027,10.484148025512695,10.942477226257324,11.406248092651367,11.8685302734375,12.112202644348145,12.636219024658203,13.122946739196777,13.442228317260742,13.804200172424316,14.171810150146484,14.86679458618164,15.427392959594727,15.884234428405762,16.217281341552734,16.850433349609375,17.009647369384766,17.38097381591797,18.068613052368164
MD,"Moldova, Republic of",MDA,3.532170057296753,3.7587974071502686,4.120809078216553,4.1295366287231445,4.034535884857178,4.177370071411133,4.312277793884277,4.468542575836182,4.649322509765625,4.823729515075684,4.895033836364746,5.031252384185791,5.086071968078613,4.9718804359436035,5.169692516326904,5.349202632904053,5.676787376403809,5.855775356292725,6.195347785949707,6.335877895355225,6.418920993804932,6.382936000823975,6.451206684112549,6.528524398803711,6.840845584869385,7.364151954650879,7.5514302253723145,7.935187339782715,8.22480297088623,8.39993667602539,8.681375503540039,8.891858100891113,8.652897834777832,8.942493438720703,9.006571769714355
HU,Hungary,HUN,4.422712802886963,4.553539752960205,4.718052864074707,4.651861667633057,4.593259334564209,4.8836989402771,5.152711868286133,5.27475118637085,5.352900981903076,5.389126777648926,5.512864589691162,5.713607311248779,5.982680797576904,5.9303131103515625,6.1114630699157715,6.293572902679443,6.5695390701293945,6.706022262573242,6.795024871826172,7.06995153427124,7.096470832824707,6.993956565856934,7.070140361785889,7.154177188873291,7.370804786682129,7.688358783721924,7.8812479972839355,8.262621879577637,8.59063720703125,8.94645881652832,9.08356761932373,9.31705379486084,9.103193283081055,9.425539016723633,9.540246963500977
CH,Switzerland,CHE,5.165929317474365,5.3362321853637695,5.478625774383545,5.1982340812683105,5.257263660430908,5.611136436462402,5.9256205558776855,6.1973466873168945,6.362890243530273,6.659127235412598,6.603701591491699,6.975129127502441,7.205917835235596,7.466129302978516,7.843760013580322,8.189972877502441,8.947016716003418,9.037775993347168,9.754241943359375,10.40487003326416,10.90857982635498,11.175626754760742,11.494234085083008,11.796907424926758,12.173154830932617,12.746910095214844,13.272911071777344,13.803018569946289,14.06002426147461,14.374801635742188,14.530903816223145,14.981361389160156,15.030718803405762,15.685733795166016,16.292020797729492
AT,Austria,AUT,4.771998882293701,4.974212169647217,5.178223609924316,4.935750484466553,5.036822319030762,5.344974517822266,5.632696151733398,5.7984299659729,5.876053333282471,6.1607818603515625,6.130606651306152,6.50124454498291,6.606746196746826,7.047216892242432,7.590395927429199,7.847996711730957,8.502459526062012,8.629413604736328,9.304078102111816,9.9454345703125,10.169363021850586,10.327463150024414,10.655817985534668,10.948859214782715,11.283960342407227,11.669464111328125,12.468439102172852,12.819109916687012,13.102585792541504,13.422736167907715,13.47169303894043,14.035088539123535,14.002111434936523,14.576249122619629,14.981595993041992
IE,Ireland,IRL,5.712717056274414,5.860279560089111,6.068613052368164,6.091130256652832,6.582774639129639,5.832774639129639,5.852922439575195,5.886255741119385,5.903823375701904,6.370766639709473,6.780359745025635,6.943974018096924,7.263529300689697,7.444515705108643,7.733699798583984,8.009929656982422,8.218262672424316,7.9954915046691895,8.188410758972168,8.376410484313965,8.226786613464355,8.071396827697754,8.029296875,8.321856498718262,8.481893539428711,8.825723648071289,9.281209945678711,9.192826271057129,9.51548957824707,9.702110290527344,9.720284461975098,9.635550498962402,9.681349754333496,10.047761917114258,9.671076774597168
GB,United Kingdom,GBR,5.8784356117248535,5.75354528427124,5.77158260345459,5.929977893829346,6.498202800750732,6.49249792098999,6.714102268218994,7.178915500640869,7.150739669799805,7.212578773498535,7.429685592651367,7.852831840515137,8.013348579406738,8.139671325683594,8.747784614562988,8.832769393920898,8.866323471069336,9.048996925354004,8.94066333770752,8.932660102844238,8.992846488952637,8.909402847290039,9.009293556213379,9.317956924438477,9.623886108398438,9.653714179992676,9.900965690612793,9.831319808959961,10.182330131530762,10.190531730651855,10.237707138061523,10.663168907165527,10.920069694519043,10.861846923828125,10.62575912475586
LI,Liechtenstein,LIE,3.8925068378448486,4.065717697143555,4.0794830322265625,3.946408271789551,3.994619131088257,4.364750862121582,4.6823296546936035,4.971829414367676,5.112859725952148,5.371251583099365,5.376828670501709,5.735416889190674,5.967092037200928,6.32152795791626,6.628984451293945,6.719425678253174,7.1116228103637695,7.0516862869262695,7.3285441398620605,7.818861961364746,7.959183692932129,8.010859489440918,8.280736923217773,8.591785430908203,8.777125358581543,9.01667594909668,9.460967063903809,9.883665084838867,10.28615665435791,10.589763641357422,10.6973876953125,11.025306701660156,11.002168655395508,11.339144706726074,11.621528625488281
DE,Germany,DEU,5.106304168701172,5.232842922210693,5.238098621368408,5.394893169403076,5.861895561218262,6.31228494644165,6.61313009262085,6.989592552185059,7.0391998291015625,7.2529120445251465,7.261937141418457,7.587790489196777,7.778996467590332,7.843861103057861,8.439497947692871,8.6529541015625,9.141111373901367,9.189634323120117,9.077330589294434,8.856232643127441,9.042452812194824,9.107709884643555,9.097208023071289,9.669023513793945,10.018856048583984,10.358248710632324,10.456719398498535,10.66943359375,11.371358871459961,11.662381172180176,11.607851028442383,12.178260803222656,12.26429557800293,12.814643859863281,13.29712963104248
SK,Slovakia,SVK,4.362900257110596,4.542064666748047,4.796322345733643,4.7476301193237305,4.64636754989624,4.976656436920166,5.244146347045898,5.378605365753174,5.420905113220215,5.456031322479248,5.6543121337890625,5.938207626342773,6.134739875793457,6.139358043670654,6.2560248374938965,6.453332424163818,6.757303237915039,6.7815446853637695,6.8477559089660645,7.208989143371582,7.306624412536621,7.201778411865234,7.314716339111328,7.4810895919799805,7.678204536437988,7.920910358428955,8.121182441711426,8.518900871276855,8.73098087310791,9.12158203125,9.296348571777344,9.468984603881836,9.074068069458008,9.359725952148438,9.546819686889648
CZ,Czech Republic,CZE,4.131680488586426,4.286407470703125,4.3961052894592285,4.270345687866211,4.278018474578857,4.610132217407227,4.88142728805542,5.111253261566162,5.1267991065979,5.139596462249756,5.313837051391602,5.4871110916137695,5.578317165374756,5.540464401245117,5.669839859008789,5.73280143737793,6.03889274597168,6.0050530433654785,6.052929878234863,6.3491692543029785,6.474774360656738,6.396158218383789,6.529481410980225,6.575260639190674,6.783340930938721,7.08669376373291,7.286694049835205,7.672522068023682,7.868653297424316,8.182328224182129,8.313419342041016,8.509406089782715,8.221355438232422,8.540363311767578,8.707535743713379
JE,Jersey,JEY,4.740601539611816,4.765417098999023,4.925212860107422,4.793147087097168,5.382640838623047,5.177574157714844,5.202027320861816,5.400575160980225,5.631912708282471,6.138626575469971,6.262536525726318,6.461630821228027,6.627573013305664,6.778109550476074,6.983911037445068,7.431556701660156,7.763253211975098,7.408722877502441,7.666512966156006,7.88462495803833,7.933357238769531,7.620500564575195,7.58101749420166,7.779937744140625,8.035000801086426,8.300762176513672,8.74821949005127,8.698944091796875,8.942420959472656,9.04397201538086,9.003294944763184,9.042378425598145,9.014361381530762,9.299287796020508,8.774528503417969
PL,Poland,POL,4.630023956298828,4.761069297790527,4.696839809417725,4.836368083953857,5.3079094886779785,5.829552173614502,6.123655796051025,6.431069374084473,6.420597076416016,6.605000019073486,6.655149459838867,6.960274696350098,7.098584175109863,7.236343860626221,7.6348748207092285,7.821165084838867,8.250592231750488,8.376992225646973,8.260223388671875,8.249175071716309,8.459627151489258,8.637882232666016,8.731056213378906,9.319406509399414,9.709931373596191,9.925704002380371,10.089518547058105,10.343791961669922,10.945701599121094,11.17920970916748,11.45146656036377,11.942697525024414,12.128180503845215,12.628802299499512,12.736621856689453
GG,Guernsey,GGY,5.878058910369873,5.906907558441162,6.073917865753174,5.890928268432617,6.559863090515137,6.140529632568359,6.273500919342041,6.440554141998291,6.715017795562744,7.286144256591797,7.431426048278809,7.70399808883667,7.8748650550842285,7.989871978759766,8.232780456542969,8.621434211730957,8.885649681091309,8.472063064575195,8.706622123718262,8.8163480758667,8.907377243041992,8.665326118469238,8.52328872680664,8.946895599365234,9.268280982971191,9.636837005615234,10.083054542541504,9.992718696594238,10.2552490234375,10.360838890075684,10.33130168914795,10.341666221618652,10.338895797729492,10.725909233093262,10.073348045349121
BE,Belgium,BEL,4.2783732414245605,4.352845668792725,4.525338172912598,4.551931381225586,4.7019219398498535,4.79046106338501,4.93556547164917,5.126177787780762,5.280874252319336,5.512342929840088,5.559543609619141,5.949503421783447,5.997829437255859,6.316453456878662,6.504639625549316,6.833358287811279,7.156853675842285,6.995734214782715,6.9198737144470215,7.030777454376221,7.2823357582092285,7.075435161590576,7.118343830108643,7.164942264556885,7.361216068267822,7.764848232269287,7.930625915527344,7.983822345733643,8.309577941894531,8.51350212097168,8.586767196655273,8.65693187713623,8.76888370513916,9.20548152923584,9.018588066101074
