,ESP_heatwaves,ESP_nuclear_production_rate,FRA_heatwaves,FRA_nuclear_production_rate,HUN_heatwaves,HUN_nuclear_production_rate,CHE_heatwaves,CHE_nuclear_production_rate,GBR_heatwaves,GBR_nuclear_production_rate,DEU_heatwaves,DEU_nuclear_production_rate,SVK_heatwaves,SVK_nuclear_production_rate,CZE_heatwaves,CZE_nuclear_production_rate,BEL_heatwaves,BEL_nuclear_production_rate,NLD_heatwaves,NLD_nuclear_production_rate,SWE_heatwaves,SWE_nuclear_production_rate,FIN_heatwaves,FIN_nuclear_production_rate
1986,5.632426738739014,29.21202857,5.866696834564209,70.48642023,4.422712802886963,26.45381984,5.165929317474365,39.93739057,5.8784356117248535,19.73543118,5.106304168701172,25.00685111,4.362900257110596,49.37418349,4.131680488586426,10.14586015,4.2783732414245605,68.36743548,3.9535229206085205,6.277733107,6.130900859832764,50.65829495,5.898050785064697,38.68590915
1987,5.709046363830566,31.12302611,5.915445327758789,70.53410618,4.553539752960205,36.9289724,5.3362321853637695,39.12407518,5.75354528427124,18.31231518,5.232842922210693,26.71702481,4.542064666748047,49.7924055,4.286407470703125,17.20528651,4.352845668792725,67.33357935,4.090120792388916,5.197386691,6.350417613983154,46.16138159,6.161683559417725,36.78888431
1988,5.97743034362793,36.41545922,6.1580376625061035,70.60440968,4.718052864074707,45.99254267,5.478625774383545,38.19162841,5.77158260345459,20.69032977,5.238098621368408,28.66339249,4.796322345733643,51.01369376,4.3961052894592285,18.36664905,4.525338172912598,66.7823554,4.2455525398254395,5.279338036,6.193587303161621,47.66789572,6.177064895629883,36.29310665
1989,5.952692031860352,38.12907609,5.9299750328063965,75.31732146,4.651861667633057,46.95919678,5.1982340812683105,42.48637184,5.929977893829346,22.94203246,5.394893169403076,29.00464122,4.7476301193237305,51.95299145,4.270345687866211,19.06618968,4.551931381225586,61.63105402,4.332624435424805,5.501711157000001,6.628658771514893,45.90318789,6.621607780456543,35.47206273
1990,6.21381950378418,35.89011018,6.255549907684326,75.28325811,4.593259334564209,48.28738219,5.257263660430908,42.98079721,6.498202800750732,20.691727899999997,5.861895561218262,27.84040902,4.64636754989624,47.20555359,4.278018474578857,20.21004962,4.7019219398498535,60.77789791,4.616963863372803,4.866051578,7.081717491149902,46.70717339,6.807127475738525,35.33847031
1991,6.2609429359436035,35.91493321,6.120792388916016,73.36828959,4.8836989402771,45.80983213,5.611136436462402,40.35053794,6.49249792098999,21.95194055,6.31228494644165,27.47701679,4.976656436920166,48.18020692,4.610132217407227,20.12007032,4.79046106338501,60.20987273,4.617347240447998,4.475424823,7.811540603637695,52.22902633,7.606542110443115,33.64777705
1992,6.3554205894470215,35.59795788,6.4922308921813965,73.57324064,5.152711868286133,44.07132713,5.9256205558776855,40.21127727,6.714102268218994,24.05134243,6.61313009262085,29.756854399999998,5.244146347045898,47.56370523,4.88142728805542,20.74267233,4.93556547164917,60.8542221,4.739424228668213,4.918648148,7.958690643310547,43.54237474,7.520401954650879,33.36509311
1993,6.692953586578369,36.06559486,6.961564064025879,78.39558483,5.27475118637085,41.91402096,6.1973466873168945,38.36838646,7.178915500640869,27.77827864,6.989592552185059,29.3358495,5.378605365753174,47.77075362,5.111253261566162,21.52794353,5.126177787780762,59.83758634,4.931474208831787,5.1167070589999994,8.344213485717773,42.26937562,8.003735542297363,32.62659834
1994,6.968853950500488,34.37682565,7.052589416503906,75.85046556,5.352900981903076,41.91854394,6.362890243530273,37.24090492,7.150739669799805,27.16168652,7.0391998291015625,28.69412896,5.420905113220215,49.47364286,5.1267991065979,22.22507664,5.280874252319336,56.94341262,5.1093974113464355,4.96700765,8.372298240661621,51.26559215,7.986976623535156,29.6003413
1995,7.290960788726807,33.48812773,7.467207908630371,76.79768567,5.389126777648926,41.23111294,6.659127235412598,39.9932528,7.212578773498535,26.75697542,7.2529120445251465,28.73254081,5.456031322479248,43.27607083,5.139596462249756,20.1898473,5.512342929840088,56.25442081,5.362560272216797,4.9502876780000005,8.502147674560547,47.1600143,8.09682559967041,30.00858905
