,ESP_heatwaves,ESP_nuclear_consumption_rate,ISR_heatwaves,ISR_nuclear_consumption_rate,PRT_heatwaves,PRT_nuclear_consumption_rate,GRC_heatwaves,GRC_nuclear_consumption_rate,ITA_heatwaves,ITA_nuclear_consumption_rate,TUR_heatwaves,TUR_nuclear_consumption_rate,FRA_heatwaves,FRA_nuclear_consumption_rate,HUN_heatwaves,HUN_nuclear_consumption_rate,CHE_heatwaves,CHE_nuclear_consumption_rate,AUT_heatwaves,AUT_nuclear_consumption_rate,IRL_heatwaves,IRL_nuclear_consumption_rate,GBR_heatwaves,GBR_nuclear_consumption_rate,DEU_heatwaves,DEU_nuclear_consumption_rate,SVK_heatwaves,SVK_nuclear_consumption_rate,CZE_heatwaves,CZE_nuclear_consumption_rate,POL_heatwaves,POL_nuclear_consumption_rate,BEL_heatwaves,BEL_nuclear_consumption_rate,LUX_heatwaves,LUX_nuclear_consumption_rate,NLD_heatwaves,NLD_nuclear_consumption_rate,ISL_heatwaves,ISL_nuclear_consumption_rate,DNK_heatwaves,DNK_nuclear_consumption_rate,SWE_heatwaves,SWE_nuclear_consumption_rate,NOR_heatwaves,NOR_nuclear_consumption_rate,FIN_heatwaves,FIN_nuclear_consumption_rate
1986,5.632426738739014,16.63567121,5.2198381423950195,3.267642631,6.294404029846191,6.052340667,6.020705223083496,1.667595639,5.936263084411621,6.259795692000001,5.605462551116943,3.228690334,5.866696834564209,34.67537017,4.422712802886963,6.573327748,5.165929317474365,37.880263,4.771998882293701,11.54689564,5.712717056274414,0.891869536,5.8784356117248535,7.750601207000001,5.106304168701172,10.00772692,4.362900257110596,15.46852717,4.131680488586426,3.523679493,4.630023956298828,0.102664136,4.2783732414245605,22.52967407,3.5949509143829346,0.28599134600000004,3.9535229206085205,1.746947135,6.442487716674805,68.98926803,5.39059591293335,0.075527223,6.130900859832764,47.6986108,5.8773884773254395,39.51494915,5.898050785064697,22.37171075
1987,5.709046363830566,17.68098006,5.553391456604004,3.130769902,6.283156871795654,6.329467257999999,6.4400763511657715,1.334676384,6.169551849365234,4.410673524,6.047059059143066,4.226897962,5.915445327758789,35.55923602,4.553539752960205,9.366404994,5.3362321853637695,40.06586771,4.974212169647217,12.885668800000001,5.860279560089111,0.634152088,5.75354528427124,7.175690844,5.232842922210693,10.79825747,4.542064666748047,14.87887441,4.286407470703125,5.825359253999999,4.761069297790527,0.10726212,4.352845668792725,23.51794301,3.7067809104919434,0.324159345,4.090120792388916,1.440621516,6.640106201171875,68.12658076,5.543582916259766,0.096582116,6.350417613983154,49.05328076,6.047756195068359,42.01746396,6.161683559417725,21.45061091
1988,5.97743034362793,20.20797976,5.724471092224121,3.004667763,6.590076446533203,8.091627464,6.639634132385254,1.065796418,6.389147758483887,4.407992725,6.350464344024658,6.136493825,6.1580376625061035,37.1975641,4.718052864074707,11.59342268,5.478625774383545,39.88226463,5.178223609924316,12.66810984,6.068613052368164,0.820515155,5.77158260345459,8.178464983,5.238098621368408,11.80780512,4.796322345733643,14.569398499999998,4.3961052894592285,6.4558072179999995,4.696839809417725,0.116576741,4.525338172912598,23.84446611,3.8265857696533203,0.310493057,4.2455525398254395,1.506137126,7.2299699783325195,69.68234286,5.50814151763916,0.15740558,6.193587303161621,48.79845938,6.043123245239258,46.16734029,6.177064895629883,22.58322681
1989,5.952692031860352,18.49295342,5.983369827270508,3.034613919,6.419950008392334,3.235320534,6.853063583374023,1.018724223,6.127366065979004,4.020536553,6.275648593902588,3.9867143869999997,5.9299750328063965,37.92262508,4.651861667633057,12.05842267,5.1982340812683105,38.44560076,4.935750484466553,12.68802031,6.091130256652832,0.6383634420000001,5.929977893829346,9.235082972999999,5.394893169403076,12.32681144,4.7476301193237305,15.48802249,4.270345687866211,6.878668576,4.836368083953857,0.11183987699999999,4.551931381225586,22.58341884,3.8207757472991943,0.222815177,4.332624435424805,1.64165422,7.8426289558410645,69.83860013,5.7331414222717285,0.244496587,6.628658771514893,48.97462212,6.536359786987305,48.33177898,6.621607780456543,21.34027
1990,6.21381950378418,17.74761183,5.823469161987305,3.125202453,6.6592488288879395,3.960558592,6.856593132019043,0.858918614,6.1747050285339355,2.201918821,6.5370965003967285,3.704351707,6.255549907684326,38.27005326,4.593259334564209,12.8077866,5.257263660430908,35.04956309,5.036822319030762,9.585815463,6.582774639129639,0.5278347520000001,6.498202800750732,8.576423314,5.861895561218262,11.83498685,4.64636754989624,15.40326064,4.278018474578857,6.782362918,5.3079094886779785,0.093595518,4.7019219398498535,23.3009151,3.958796977996826,1.400612617,4.616963863372803,1.631609338,8.551676750183105,32.05085837,5.881443023681641,1.267289071,7.081717491149902,48.78334945,6.940030574798584,39.47536221,6.807127475738525,21.24620166
1991,6.2609429359436035,17.60981394,5.924637317657471,3.299180643,6.183926105499268,3.907570382,7.072498798370361,1.319659914,6.78050422668457,2.756485075,6.743350028991699,3.721958119,6.120792388916016,38.19109367,4.8836989402771,13.45344712,5.611136436462402,34.44305686,5.344974517822266,9.275662709,5.832774639129639,0.565570231,6.49249792098999,8.871404325,6.31228494644165,11.60940793,4.976656436920166,16.4967427,4.610132217407227,7.216661468,5.829552173614502,0.086180053,4.79046106338501,22.3835273,4.096602916717529,1.398654004,4.617347240447998,1.5020186619999998,9.154706954956055,34.67525907,6.222247123718262,1.188787622,7.811540603637695,50.5926071,7.4543657302856445,39.13073512,7.606542110443115,21.70940553
1992,6.3554205894470215,16.73485063,6.017053604125977,3.02623894,6.244081974029541,1.979263271,7.478326797485352,1.038273927,7.549559593200684,2.795820813,6.963324069976807,4.117745589,6.4922308921813965,39.976332,5.152711868286133,14.91460993,5.9256205558776855,34.83084035,5.632696151733398,10.65139514,5.852922439575195,0.628381965,6.714102268218994,9.707945741,6.61313009262085,12.75903987,5.244146347045898,16.72076249,4.88142728805542,7.545964248,6.123655796051025,0.091527292,4.93556547164917,22.46052454,4.245124816894531,1.244580117,4.739424228668213,1.71838683,9.533111572265625,36.39272454,6.414895534515381,1.41814034,7.958690643310547,47.16521907,7.4543657302856445,38.6441771,7.520401954650879,23.49175062
1993,6.692953586578369,17.97776072,5.947651386260986,3.0350400189999998,6.4352521896362305,3.535953618,7.716929912567139,1.107751172,8.107090950012207,2.821864821,7.201987266540527,4.812865,6.961564064025879,42.47347777,5.27475118637085,14.40610966,6.1973466873168945,35.96953536,5.7984299659729,10.96003258,5.886255741119385,0.596495048,7.178915500640869,11.09932994,6.989592552185059,12.48946532,5.378605365753174,18.26742652,5.111253261566162,8.063493348,6.431069374084473,0.08473565699999999,5.126177787780762,22.18887683,4.347074508666992,1.2511607009999999,4.931474208831787,1.77950084,10.100887298583984,34.70067765,6.840580463409424,1.4880675419999998,8.344213485717773,46.23260095,7.759871959686279,36.84939396,8.003735542297363,22.43205876
1994,6.968853950500488,17.17609569,5.9838666915893555,2.98632878,6.595723628997803,4.422171317,7.929989814758301,1.188420241,8.356344223022461,3.0141845910000002,7.494359970092773,4.502216576,7.052589416503906,43.58894416,5.352900981903076,15.14126542,6.362890243530273,36.83784783,5.876053333282471,10.72049983,5.903823375701904,0.667581885,7.150739669799805,10.93077666,7.0391998291015625,12.40637248,5.420905113220215,20.54410025,5.1267991065979,8.579074512,6.420597076416016,0.10545076199999999,5.280874252319336,20.28592281,4.323048114776611,1.966451802,5.1093974113464355,1.787848087,10.483816146850586,34.97702557,7.021824836730957,1.381083593,8.372298240661621,47.40857716,7.9043660163879395,37.92657031,7.986976623535156,19.99536854
1995,7.290960788726807,16.11094434,6.148856163024902,2.990657447,6.829751491546631,3.1844388460000004,8.088665008544922,1.49289982,8.616172790527344,2.385708517,7.938286781311035,4.6996537080000005,7.467207908630371,43.60603894,5.389126777648926,14.54957836,6.659127235412598,37.66806218,6.1607818603515625,10.33783545,6.370766639709473,0.524022544,7.212578773498535,10.99542546,7.2529120445251465,12.51981617,5.456031322479248,18.70927724,5.139596462249756,8.081060845,6.605000019073486,0.117886011,5.512342929840088,20.28564035,4.531670570373535,2.99816253,5.362560272216797,1.714564956,10.158368110656738,35.71393032,7.273804187774658,1.610097296,8.502147674560547,46.29964918,8.03502082824707,37.93937998,8.09682559967041,21.2571568
